"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 19 03:56:42 UTC 2023","Tue Sep 19 03:56:50 UTC 2023","8143","","22. Individual Onboarding for Interactive Brokers","","","","2. Create new Individual account",""
"passed","Tue Sep 19 04:08:26 UTC 2023","Tue Sep 19 04:08:35 UTC 2023","9627","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Tue Sep 19 02:31:18 UTC 2023","Tue Sep 19 02:31:28 UTC 2023","10049","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Tue Sep 19 04:08:06 UTC 2023","Tue Sep 19 04:08:21 UTC 2023","14904","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Tue Sep 19 02:48:36 UTC 2023","Tue Sep 19 02:48:39 UTC 2023","3169","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Sep 19 02:20:42 UTC 2023","Tue Sep 19 02:20:42 UTC 2023","58","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Tue Sep 19 03:51:55 UTC 2023","Tue Sep 19 03:52:03 UTC 2023","7998","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Tue Sep 19 02:28:53 UTC 2023","Tue Sep 19 02:28:57 UTC 2023","3436","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Sep 19 02:24:31 UTC 2023","Tue Sep 19 02:24:38 UTC 2023","6895","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Tue Sep 19 02:29:16 UTC 2023","Tue Sep 19 02:29:25 UTC 2023","9254","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Sep 19 03:28:55 UTC 2023","Tue Sep 19 03:28:58 UTC 2023","2496","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Tue Sep 19 03:49:01 UTC 2023","Tue Sep 19 03:49:18 UTC 2023","16769","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Tue Sep 19 03:20:59 UTC 2023","Tue Sep 19 03:21:02 UTC 2023","2693","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Sep 19 03:07:55 UTC 2023","Tue Sep 19 03:07:56 UTC 2023","987","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Tue Sep 19 02:51:56 UTC 2023","Tue Sep 19 02:51:58 UTC 2023","2136","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Sep 19 02:50:46 UTC 2023","Tue Sep 19 02:51:04 UTC 2023","17767","","6. Company Account","","","","1. Validate login credentials",""
